utc,Amgalan,Baruun 4 zam,Bayankhoshuu,Bukhiin urguu,MNB,Nisekh,Tolgoit,US Diplomatic Post,Weather (F),Weather (C)
2017-05-29 00:00:00+00:00,18.70099335,12.83928366,42.99779745,12.10162652,30.41045549,25.01892964,27.84347629,13.36904762,60.34,15.74
2017-06-05 00:00:00+00:00,16.11607143,10.57989361,49.55907292,17.21428535,20.96464032,18.84970238,22.63295943,20.33333333,59.48,15.26
2017-06-12 00:00:00+00:00,18.69851824,15.21048268,,15.89243913,26.59821429,19.83260755,31.21102746,17.43452381,66,18.88
2017-06-19 00:00:00+00:00,23.42559524,16.87590698,,24.2595831,26.6577381,29.46138996,34.48044112,14.93452381,64.87,18.261111
2017-06-26 00:00:00+00:00,20.21086348,16.03456438,81.20375728,20.50115229,26.48546217,19.47511953,27.97949533,-245.2136905,66.12,18.96
2017-07-03 00:00:00+00:00,27.5135385,24.59483831,74.67516801,25.09812312,21.775,22.92996819,22.36251122,31,75.54,24.18
2017-07-10 00:00:00+00:00,,12.96349638,46.22083832,15.98846418,,,,10.67857143,63.57,17.54
2017-07-17 00:00:00+00:00,,40.25079455,72.03119626,42.70551202,,,,50.81547619,72.11,22.28
2017-07-24 00:00:00+00:00,,16.9415302,36.23611111,14.96715646,,,,13.42929293,65.58,18.655556
2017-07-31 00:00:00+00:00,,,,,,,,,69.23,20.683333
2017-08-07 00:00:00+00:00,,,,,,,,,64.4,18
2017-08-14 00:00:00+00:00,16.42083477,10.85905481,,11.92513441,13.27276535,13.76972312,12.32559118,8.301017316,61.9,16.61111
2017-08-21 00:00:00+00:00,15.74590007,13.79800945,,13.25166943,13.48584229,12.08575011,14.14173506,-134.8817682,62.11,16.727778
2017-08-28 00:00:00+00:00,14.47484024,30.684353,,11.45813416,25.49409915,12.27193878,22.87755102,10.02148033,48.36,9.0888889
2017-09-04 00:00:00+00:00,15.90975057,20.24195781,,17.15606591,22.37971876,28.43253968,33.93694084,46.84578863,53.2,11.77778
2017-09-11 00:00:00+00:00,9.230654762,16.79018502,16.64583333,14.90150167,12.41388889,12.20238095,12.48888889,12.658252,52.83,11.572222
2017-09-18 00:00:00+00:00,7,20.916306,22.08304492,17.1963632,21.05593434,16.64106849,23.04924638,-42.13995321,50.96,10.533333
2017-09-25 00:00:00+00:00,19.76032,20.54017677,28.58277778,16.69622693,27.58894164,19.35468517,35.76185522,16.17637409,46.38,7.9888889
2017-10-02 00:00:00+00:00,33.03602941,34.64867494,47.2796697,34.0344598,56.49512306,36.04106681,61.59201256,32.28343954,31.92,-0.044444444
2017-10-09 00:00:00+00:00,31.35384058,88.85469436,35.69584039,22.7641455,47.09708632,34.00439959,60.97026738,-185.5587138,36.34,2.4111111
2017-10-16 00:00:00+00:00,47.75891173,63.25609319,48.49960138,40.40862471,92.2630096,77.13435374,102.7208175,16.37621239,23.68,-4.6222222
2017-10-23 00:00:00+00:00,58.53499166,57.08162388,66.66211309,32.26166306,103.1168709,68.03808045,105.4637598,62.36251849,34.95,1.6388889
2017-10-30 00:00:00+00:00,54.83276868,81.0537496,90.0335341,50.4745633,112.7323114,67.30292646,122.5583597,68.60200423,29.07,-1.6277778
2017-11-06 00:00:00+00:00,67.37119048,66.87107754,76.04511441,59.75977151,118.7829583,76.47402451,124.4353061,77.76865371,24.6,-4.111111
2017-11-13 00:00:00+00:00,69.0857699,66.7714685,186.2981859,52.24228377,120.5089981,58.79682028,139.2868007,90.52426752,6.93,-13.92778
2017-11-20 00:00:00+00:00,116.7768955,156.2939525,241.3973683,108.0371631,164.808603,130.190227,251.4212885,152.4529473,-4.25,-20.13889
2017-11-27 00:00:00+00:00,95.49248609,97.48005588,186.01141,71.16754766,114.4290842,80.13688116,183.3775876,103.2207135,0.88,-17.28889
2017-12-04 00:00:00+00:00,183.1477132,258.3395467,360.5059222,152.3648716,221.3120338,152.094337,306.2375567,145.8905045,-11.08,-23.933333
2017-12-11 00:00:00+00:00,127.1333409,167.4942996,248.6317536,89.37361997,153.0225194,105.0456843,239.960366,139.8645833,-2.55,-19.19444
2017-12-18 00:00:00+00:00,118.4251848,125.6345214,249.5205991,82.99703433,151.938178,97.44962043,222.2789102,,-7.8,-22.1111
2017-12-25 00:00:00+00:00,186.6446435,384.9745349,476.3516595,159.3920559,287.844697,189.3464636,328.5395953,,-9.29,-22.93889
2018-01-01 00:00:00+00:00,95.13448839,160.4245492,374.5963573,68.73638813,174.7336282,112.9482049,210.9795288,137.1309376,-3,-19.4444
2018-01-08 00:00:00+00:00,154.4648649,156.1842674,448.0778711,109.4520334,189.4175326,151.7927025,219.3832451,124.2498817,-12.67,-24.816667
2018-01-15 00:00:00+00:00,144.1221046,246.8499376,449.8179232,111.2245435,231.3052941,164.8919772,296.3437529,120.181509,-9.51,-23.06111
2018-01-22 00:00:00+00:00,109.0848501,125.2489617,225.9610162,85.24520929,173.9565493,125.840123,200.0392496,-737.6428571,-18.56,-28.088889
2018-01-29 00:00:00+00:00,141.4982943,256.2705199,475.8148551,80.79050463,150.0496032,140.3789132,179.5479727,-141.3893424,-22,-30
2018-02-05 00:00:00+00:00,322.505848,320.3200208,722.0953947,116.6019689,315.8355263,208.4125,332.7199248,127.5746246,-13.62,-25.344444
2018-02-12 00:00:00+00:00,97.0344221,134.5860183,158.7782923,69.6320693,105.5139069,79.06086116,90.13670377,57.95336319,-6.15,-21.19444
2018-02-19 00:00:00+00:00,130.4452741,160.8331965,277.1804443,110.5813624,188.4441501,135.3443709,69.05985364,108.3044583,-5.95,-21.08333
2018-02-26 00:00:00+00:00,91.83186062,102.2274054,202.77491,71.71212121,154.0041662,113.2065183,46.17098347,61.10620748,0.16,-17.68889
2018-03-05 00:00:00+00:00,66.10444032,70.2884491,113.1351779,51.13663216,110.0573569,74.31136403,41.97664141,40.04489796,3.7,-15.7222
2018-03-12 00:00:00+00:00,64.2012218,66.59817586,93.68081706,61.93429921,97.43171457,56.44085115,27.43801793,30.22753759,21.63,-5.7611111
2018-03-19 00:00:00+00:00,50.42406027,48.69404349,67.34913953,45.40655881,68.86935792,57.63455703,24.54554093,20.13217419,24.47,-4.1833333
2018-03-26 00:00:00+00:00,48.94788188,35.7818327,62.15237032,25.59839359,58.33272248,44.98097168,26.05990354,17.1585034,39.34,4.0777778
2018-04-02 00:00:00+00:00,54.22345258,29.48573689,45.4654417,22.107853,51.38315573,44.88491812,45.929713,-10.16510771,35.68,2.0444444
2018-04-09 00:00:00+00:00,36.58132045,28.24485063,27.82389706,20.31026983,44.794525,41.46269867,45.51058615,7.243536809,28.1,-2.166667
2018-04-16 00:00:00+00:00,29.85139518,28.82860533,32.08355003,22.03617606,50.20502439,38.05149242,43.55984831,8.076074066,36.99,2.7722222
2018-04-23 00:00:00+00:00,25.06990213,17.87556688,23.21707133,13.67529608,37.18760087,21.12104802,24.32206542,-175.4086162,46.14,7.8555556
2018-04-30 00:00:00+00:00,26.4290288,17.93506579,24.73746068,15.14482187,32.60574064,26.5473809,27.88210842,27.06638923,46.49,8.05
2018-05-07 00:00:00+00:00,22.60205278,15.8240751,31.09727794,12.7521834,25.82133859,27.48117692,28.32098406,20.15514327,51.77,10.983333
2018-05-14 00:00:00+00:00,26.72263921,14.61981448,41.77704503,12.42313425,21.3152994,26.0663736,24.48196998,-333.2896371,53.64,12.022222
2018-05-21 00:00:00+00:00,27.70561919,14.41990267,46.41174725,14.09203979,23.21873509,27.38548753,27.50537804,7.886475116,54.39,12.438889
2018-05-28 00:00:00+00:00,20.66959996,18.44032945,67.99051412,21.18355686,16.95090703,23.98450661,23.48053589,20.07631386,54.78,12.655556
2018-06-04 00:00:00+00:00,23.60401979,16.20127443,48.81818944,16.45079176,22.80958093,20.90002646,25.50614332,-53.96258025,64.22,17.9
2018-06-11 00:00:00+00:00,14.99588585,15.75392887,46.49339701,22.42486341,12.45868665,15.98805588,12.25857904,26.1773484,60.27,15.705556
2018-06-18 00:00:00+00:00,17.26887822,13.77910711,29.53213497,20.45895354,16.55519796,17.83154936,13.20475778,-354.3732293,62.91,17.172222
2018-06-25 00:00:00+00:00,18.23966441,17.62182276,21.13905471,22.11181868,15.20970307,15.64179842,13.45679012,17.92494824,65.6,18.66667
2018-07-02 00:00:00+00:00,18.86752087,15.2458899,19.61763485,18.3764157,18.88643386,19.46352007,15.68288074,-9.071662301,66.16,18.977778